taxid	organism_name
1836956	Colletotrichum chrysophilum
1850975	Penicillium nucicola
1854472	Chaetomium fimeti
1854479	Chaetomium tenue
1858805	Dacryopinax primogenitus
1859122	Cryptococcus decagattii
1882272	Penicillium samsonianum
1903569	Penicillium riverlandense
1904413	Suillus clintonianus
1912936	Suillus discolor
1912939	Suillus fuscotomentosus
1912981	Nematocida homosporus
1912982	Nematocida major
1912983	Nematocida minor
1913371	Nematocida ausubeli
1914294	Colletotrichum paranaense
1927788	Annulohypoxylon maeteangense
1929756	Desarmillaria tabescens
1932322	Didymosphaeria variabile
1934379	Dichotomopilus funicola
1937702	Ogataea haglerorum
1954250	Lasiosphaeria miniovina
1964551	Botrytis fragariae
2019550	Ceratocystis lukuohia
2020962	Malassezia vespertilionis
2034170	Trichoderma breve
2059318	Histoplasma mississippiense (nom. inval.)
2060973	Purpureocillium takamizusanense
2074819	Canariomyces notabilis
2093777	Podospora bellae-mahoneyi
2093779	Podospora pseudocomata
2093780	Podospora pseudopauciseta
2100454	Penicillium cataractarum
2126181	Mycena indigotica
2231603	Akanthomyces muscarius
2315449	Yamadazyma tenuis
2478750	Botrytis deweyae
2486360	Exophiala viscosa
2545709	Schizosaccharomyces osmophilus
2587402	Parathielavia appendiculata
2606893	Magnusiomyces paraingens
2609844	Podospora pseudoanserina
2614577	Emericellopsis atlantica
2656787	Venustampulla echinocandica
2675880	Fusarium flagelliforme
2686198	Emericellopsis cladophorae
2732470	Bacidia gigantensis
2754530	Protomyces lactucae-debilis
2781224	Neodothiora populina
2819901	Penicillium diatomitis
2905665	Apiospora phragmitis
3039483	Ordospora pajunii
46125	Abiotrophia defectiva
264636	Acholeplasma hippikon
2148	Acholeplasma laidlawii
35623	Acholeplasma oculi
32002	Achromobacter denitrificans
217204	Achromobacter insolitus
72557	Achromobacter ruhlandii
217203	Achromobacter spanius
85698	Achromobacter xylosoxidans
905	Acidaminococcus fermentans
187327	Acidaminococcus intestini
1749	Acidipropionibacterium jensenii
80867	Acidovorax avenae
470	Acinetobacter baumannii
106648	Acinetobacter bereziniae
471	Acinetobacter calcoaceticus
106649	Acinetobacter guillouiae
29430	Acinetobacter haemolyticus
40214	Acinetobacter johnsonii
40215	Acinetobacter junii
1785128	Acinetobacter lactucae
28090	Acinetobacter lwoffii
106654	Acinetobacter nosocomialis
48296	Acinetobacter pittii
108981	Acinetobacter schindleri
1530123	Acinetobacter seifertii
487316	Acinetobacter soli
108980	Acinetobacter ursingii
51161	Actinobacillus delphinicola
720	Actinobacillus lignieresii
715	Actinobacillus pleuropneumoniae
716	Actinobacillus suis
723	Actinobacillus ureae
163603	Actinomadura latina
1993	Actinomadura madurae
181487	Schaalia cardiffensis
66228	Gleimia europaea
52769	Actinomyces gerencseriae
55565	Actinomyces graevenitzii
178339	Pauljensenia hongkongensis
1659	Actinomyces israelii
461393	Actinomyces massiliensis
52773	Schaalia meyeri
1660	Schaalia odontolytica
544580	Actinomyces oris
111015	Actinomyces radicidentis
131110	Schaalia radingae
1288391	Actinomyces timonensis
131111	Schaalia turicensis
103621	Actinomyces urogenitalis
1656	Actinomyces viscosus
59505	Actinotignum schaalii
302406	Advenella mimigardefordensis
87541	Aerococcus christensenii
119206	Aerococcus sanguinicola
1376	Aerococcus urinae
128944	Aerococcus urinaehominis
1377	Aerococcus viridans
656	Aeromonas allosaccharophila
105751	Aeromonas bestiarum
648	Aeromonas caviae
196024	Aeromonas dhakensis
73010	Aeromonas encheleia
29489	Aeromonas enteropelogenes
654	Aeromonas veronii
651	Aeromonas media
652	Aeromonas schubertii
646	Aeromonas sobria
633417	Aeromonas taiwanensis
