group_taxid	group_name	kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_species	taxonomy	n_blanks_present	mean_reads_blank	max_reads_blank	sum_reads_all_blanks	min_tier_blank	in_run28_blank	runs_present	prevalence	mean_reads_all_blanks	reads_run28	contamination_class	mean_rpm_blank	max_rpm_blank	std_rpm_blank	lot_batch_runs
2725666	Terribium terrae	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Terribium	Terribium terrae	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Phyllobacteriaceae|Terribium|Terribium terrae	4	7.25	10	29	2	true	27,28,29,30	0.21052631578947367	1.526315789473684	9	REAGENT	30.0076465299679	42.767575335083954	14.834719020936339	""
482957	Burkholderia lata	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia lata	4	6.25	14	25	1	false	29,30,32,33	0.21052631578947367	1.3157894736842104	0	REAGENT	22.6663148318195	48.478636503720736	17.444797122054965	""
68287	Mesorhizobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	""	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Phyllobacteriaceae|Mesorhizobium	4	5.75	10	23	2	false	29,31,32,33	0.21052631578947367	1.2105263157894737	0	REAGENT	22.799924772277464	34.627597502657665	9.428040814288224	""
216778	Stenotrophomonas rhizophila	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas rhizophila	Pseudomonadota|Gammaproteobacteria|Lysobacterales|Lysobacteraceae|Stenotrophomonas|Stenotrophomonas rhizophila	4	5.75	7	23	2	true	27,28,29,30	0.21052631578947367	1.2105263157894737	7	REAGENT	22.704747739442563	33.22085700319395	7.179041112955975	""
47770	Lactobacillus crispatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus crispatus	4	4.75	9	19	2	false	20,23,29,33	0.21052631578947367	1.0	0	REAGENT	50.34830726631992	117.32193137970592	51.66356318379301	""
1696	Brevibacterium	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	""	Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae|Brevibacterium	4	4.5	6	18	2	false	17,18,21,22	0.21052631578947367	0.9473684210526315	0	REAGENT	45.18375049372555	70.06235549639179	18.837055025784736	""
180282	Delftia tsuruhatensis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia tsuruhatensis	Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia tsuruhatensis	4	4.0	5	16	2	false	20,25,27,29	0.21052631578947367	0.8421052631578947	0	REAGENT	23.136144950331783	52.14308061320263	19.515421891029465	""
3139142	Pseudomonas bambusae	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas bambusae	Pseudomonadota|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas bambusae	4	3.5	4	14	2	false	20,21,32,33	0.21052631578947367	0.7368421052631579	0	REAGENT	24.11730405029804	39.107310459901974	11.88158663060742	""
3045147	Acinetobacter corruptisaponis	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter corruptisaponis	Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter corruptisaponis	4	2.5	4	10	1	false	20,29,31,33	0.21052631578947367	0.5263157894736842	0	REAGENT	12.065013536661203	19.3878292901631	5.505409704795797	""
93681	Roseateles	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	""	Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae|Roseateles	3	29.333333333333332	66	88	2	false	18,22,23	0.15789473684210525	4.631578947368421	0	REAGENT	374.9573199233816	811.1695590187306	401.04144072119755	""
376175	Caldimonas aquatica	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Caldimonas	Caldimonas aquatica	Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae|Caldimonas|Caldimonas aquatica	3	15.0	31	45	2	false	13,15,16	0.15789473684210525	2.3684210526315788	0	REAGENT	181.83978860236164	351.32654102020695	149.881443697772	""
36807	Microbacterium laevaniformans	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium laevaniformans	Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae|Microbacterium|Microbacterium laevaniformans	3	8.666666666666666	11	26	2	true	28,29,30	0.15789473684210525	1.3684210526315788	10	REAGENT	33.838527963781154	47.45836714741993	13.076276814375833	""
2014534	Microbacterium sp. PM5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. PM5	Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae|Microbacterium|Microbacterium sp. PM5	3	6.333333333333333	7	19	2	true	28,29,30	0.15789473684210525	1.0	6	REAGENT	25.41139780943659	29.937302734558767	6.613264107206381	""
